distance,surface,bed
42200,1382.57896,314.597254
42250,1381.336294,313.7804836
42300,1379.970815,312.7180914
42350,1378.473656,311.4113538
42400,1376.893693,309.887737
42450,1375.298448,308.2121081
42500,1373.699286,306.3703077
42550,1372.152194,304.3731829
42600,1370.640791,302.2460762
42650,1369.176238,300.0287201
42700,1367.695487,297.7105044
42750,1366.180085,295.3048239
42800,1364.649351,292.808952
42850,1363.133053,290.2603265
42900,1361.642055,287.6629381
42950,1360.163607,284.99975
43000,1358.714449,282.2919418
43050,1357.277378,279.5224138
43100,1355.853523,276.6782685
43150,1354.423798,273.6874452
43200,1352.987674,270.56111
43250,1351.509953,267.2895226
43300,1349.979543,263.8680877
43350,1348.391482,260.2633369
43400,1346.794557,256.522927
43450,1345.21616,252.6396629
43500,1343.633551,248.598574
43550,1342.048316,244.3639229
43600,1340.462374,239.8647842
43650,1338.874118,235.0695535
43700,1337.268221,229.9204424
43750,1335.562873,224.4168117
43800,1333.768919,218.7415966
43850,1331.886837,213.0118493
43900,1330.033843,207.40355
43950,1328.197987,201.8829487
44000,1326.374717,196.3848807
44050,1324.552441,190.8763148
44100,1322.740413,185.3828802
44150,1320.929294,179.9061306
44200,1319.114485,174.4914872
44250,1317.28873,169.0944072
44300,1315.449631,163.6937768
44350,1313.6749,158.3303022
44400,1311.997191,153.0370637
44450,1310.378712,147.7448643
44500,1308.792334,142.4574079
44550,1307.178231,137.1544769
44600,1305.492618,131.8299877
44650,1303.712294,126.4627087
44700,1301.851803,121.0646348
44750,1299.949946,115.623237
44800,1298.053759,110.1763325
44850,1296.140456,104.6874428
44900,1294.233044,99.1820828
44950,1292.333761,93.64954576
45000,1290.464983,88.12771693
45050,1288.592264,82.53651226
45100,1286.714612,76.86079611
45150,1284.823431,71.08042448
45200,1282.912008,65.16365726
45250,1281.02152,59.27185177
45300,1279.147244,53.37070876
45350,1277.358466,47.53316942
45400,1275.669835,41.74009371
45450,1274.05112,35.95679568
45500,1272.466965,30.20966779
45550,1270.830639,24.39992629
45600,1269.204131,18.58717462
45650,1267.595879,12.74893001
45700,1266.023076,6.847450945
45750,1264.442167,0.91773321
45800,1262.81979,-5.091632539
45850,1261.212159,-11.12712373
45900,1259.617489,-17.22194166
45950,1258.06445,-23.32130864
46000,1256.497126,-29.45580107
46050,1254.943889,-35.58363258
46100,1253.432166,-41.63053144
46150,1251.935721,-47.64419584
46200,1250.445279,-53.58818479
46250,1248.973974,-59.44495084
46300,1247.545416,-65.19640588
46350,1246.155809,-70.85750641
46400,1244.775545,-76.45163372
46450,1243.36908,-81.99079924
46500,1241.952953,-87.46198796
46550,1240.541882,-92.84765715
46600,1239.122642,-98.18493725
46650,1237.695944,-103.4201824
46700,1236.279665,-108.6027401
